SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
SNR_dB=10.0, esquema=Hamming(15,11), BER=5.905512e-02, errores=60, bits=1016, bloques_corregidos=117, total_bloques=127
