SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
SNR_dB=10.0, esquema=Hamming(7,4), BER=0.000000e+00, errores=0, bits=1016, bloques_corregidos=0, total_bloques=254
